DATETIME,LOAD,ACT_HEAT_INDEX,ACT_HUMIDITY,ACT_RAIN,ACT_TEMP,COOL_FACTOR,hour,is_peak,forecast,forecast_adj,penalty,penalty_adj,deviation
2021-05-13 10:45:00,1325.524192,42.61086433,64.9,0,33.43,6.43,10,0,1335.1082568399995,1335.1082568399995,19.16812967999931,19.16812967999931,9.584064839999428
2021-05-13 11:00:00,1331.268844,43.20381718,63.6,0,33.82,6.82,11,0,1333.7442732399995,1333.7442732399995,4.9508584799991695,4.9508584799991695,2.4754292399995848
2021-05-13 11:15:00,1335.035272,46.15926005,61.69,0,35.09,8.09,11,0,1336.9309852,1336.9309852,3.791426399999637,3.791426399999637,1.8957131999998182
2021-05-13 11:30:00,1338.722744,45.14223943,60.81,0,34.9,7.9,11,0,1343.3039632,1343.3039632,9.162438400000156,9.162438400000156,4.581219200000078
2021-05-13 11:45:00,1343.871548,44.64942137,60.28,0,34.82,7.82,11,0,1345.0496441200005,1345.0496441200005,2.3561922400003823,2.3561922400003823,1.1780961200004185
2021-05-13 12:00:00,1342.6096,44.61329323,61.02,0,34.69,7.69,12,0,1338.0996798800002,1338.0996798800002,18.039680479999333,18.039680479999333,4.509920119999833
2021-05-13 12:15:00,1342.821868,44.80988647,60.68,0,34.81,7.81,12,0,1337.07511988,1337.07511988,22.98699247999957,22.98699247999957,5.746748119999893
2021-05-13 12:30:00,1340.396692,44.18629268,60.36,0,34.65,7.65,12,0,1337.18062552,1337.18062552,12.864265919999523,12.864265919999523,3.2160664800001086
2021-05-13 12:45:00,1333.483536,44.86484173,60.67,0,34.83,7.83,12,0,1336.0316440400004,1336.0316440400004,5.096216080000886,5.096216080000886,2.548108040000443
2021-05-13 13:00:00,1328.556696,45.32081528,61.24,0,34.89,7.89,13,0,1329.71301064,1329.71301064,2.3126292799997827,2.3126292799997827,1.1563146399998914
2021-05-13 13:15:00,1309.878716,44.84554229,60.88,0,34.79,7.79,13,0,1325.9617907199995,1325.9617907199995,32.16614943999957,32.16614943999957,16.08307471999956
2021-05-13 13:30:00,1307.41578,44.36513481,59.49,0,34.85,7.85,13,0,1303.7999627600002,1303.7999627600002,14.463268959999368,14.463268959999368,3.615817239999842
2021-05-13 13:45:00,1313.153044,45.91221702,61.26,0,35.08,8.08,13,0,1302.8130858400002,1302.8130858400002,41.35983263999879,41.35983263999879,10.339958159999696
2021-05-13 14:00:00,1327.071948,45.05388922,59.21,0,35.13,8.13,14,0,1320.7131983199995,1320.7131983199995,25.434998720001204,25.434998720001204,6.358749680000528
2021-05-13 14:15:00,1340.14312,45.24243833,60.52,0,34.98,7.98,14,0,1336.2334719199998,1336.2334719199998,15.638592320000498,15.638592320000498,3.9096480800001245
2021-05-13 14:30:00,1356.896068,43.88219413,59.7,0,34.65,7.65,14,0,1348.01001556,1348.01001556,35.54420975999983,35.54420975999983,8.886052439999958
2021-05-13 14:45:00,1372.463036,44.38221641,61.48,0,34.54,7.54,14,0,1366.90849784,1366.90849784,22.21815263999997,22.21815263999997,5.554538159999993
2021-05-13 15:00:00,1386.330508,44.43127051,61.33,0,34.58,7.58,15,0,1368.2975723999998,1368.2975723999998,72.1317424000008,72.1317424000008,18.0329356000002
2021-05-13 15:15:00,1394.74314,46.20777553,60.32,0,35.33,8.33,15,0,1387.10834392,1387.10834392,30.53918432000046,30.53918432000046,7.634796080000115
2021-05-13 15:30:00,1393.816368,45.04645656,61.74,0,34.72,7.72,15,0,1397.06844996,1397.06844996,6.504163919999883,6.504163919999883,3.2520819599999413
2021-05-13 15:45:00,1386.557336,45.50876542,62.0,0,34.83,7.83,15,0,1395.6838646400004,1395.6838646400004,18.253057280000576,18.253057280000576,9.126528640000288
2021-05-13 16:00:00,1372.046968,43.94824835,62.87,0,34.18,7.18,16,0,1373.3400748800004,1373.3400748800004,2.5862137600006463,2.5862137600006463,1.2931068800003231
2021-05-13 16:15:00,1359.016732,43.92753025,61.91,0,34.32,7.32,16,0,1367.0545051199997,1367.0545051199997,16.075546239999312,16.075546239999312,8.037773119999656
2021-05-13 16:30:00,1341.292752,45.21035309,62.27,0,34.69,7.69,16,0,1352.2382920000005,1352.2382920000005,21.891080000000784,21.891080000000784,10.945540000000392
2021-05-13 16:45:00,1320.062404,43.75898628,61.28,0,34.36,7.36,16,0,1331.3910049999995,1331.3910049999995,22.657201999999412,22.657201999999412,11.32860099999948
2021-05-13 17:00:00,1300.477208,43.40654857,62.92,0,33.99,6.99,17,0,1312.2202159999997,1312.2202159999997,23.48601599999938,23.48601599999938,11.74300799999969
2021-05-13 17:15:00,1283.059648,42.70763329,63.47,0,33.67,6.67,17,0,1289.2944138000005,1289.2944138000005,12.469531600000664,12.469531600000664,6.2347658000005595
2021-05-13 17:30:00,1262.952128,43.20780752,60.89,0,34.23,7.23,17,0,1270.47894656,1270.47894656,15.053637120000076,15.053637120000076,7.526818560000038
2021-05-13 17:45:00,1248.355556,44.16763935,62.11,0,34.37,7.37,17,0,1247.0953123200004,1247.0953123200004,5.040974719998303,5.040974719998303,1.2602436799995758
2021-05-13 18:00:00,1231.9341,43.66069431,63.96,0,33.92,6.92,18,1,1248.5543571199998,1248.5543571199998,33.24051423999981,33.24051423999981,16.620257119999906
2021-05-13 18:15:00,1212.727168,44.1866265,67.32,0,33.6,6.6,18,1,1241.64334264,1241.64334264,57.83234928000047,57.83234928000047,28.91617464000001
2021-05-13 18:30:00,1200.353272,43.90237945,69.6,0,33.19,6.19,18,1,1224.14249764,1224.14249764,47.578451279999626,47.578451279999626,23.78922564000004
2021-05-13 18:45:00,1191.25716,40.77769877,70.84,0,32.02,5.02,18,1,1200.2635467600005,1200.2635467600005,18.012773520000792,18.012773520000792,9.006386760000396
2021-05-13 19:00:00,1192.87916,39.89087955,72.1,0,31.57,4.57,19,1,1207.02854042,1207.02854042,28.29876084000034,28.29876084000034,14.149380419999943
2021-05-13 19:15:00,1215.420004,38.87167216,72.46,0,31.18,4.18,19,1,1211.10380544,1211.10380544,25.89719135999985,25.89719135999985,4.316198559999975
2021-05-13 19:30:00,1239.13744,38.70757755,72.22,0,31.15,4.15,19,1,1232.3632243599998,1232.3632243599998,40.64529384000116,40.64529384000116,6.774215640000193
2021-05-13 19:45:00,1256.867996,37.92730124,71.62,0,30.94,3.94,19,1,1262.7099194800007,1262.7099194800007,11.683846960001574,11.683846960001574,5.841923480000787
2021-05-13 20:00:00,1259.092988,37.8985109,72.53,0,30.83,3.83,20,1,1267.3247625599993,1267.3247625599993,16.463549119998333,16.463549119998333,8.231774559999167
2021-05-13 20:15:00,1261.0847,37.55839149,72.51,0,30.71,3.71,20,1,1268.9902418799993,1268.9902418799993,15.811083759998382,15.811083759998382,7.905541879999191
2021-05-13 20:30:00,1264.419832,37.43138753,73.02,0,30.61,3.61,20,1,1271.4448570799996,1271.4448570799996,14.050050159999046,14.050050159999046,7.025025079999523
2021-05-13 20:45:00,1268.623824,36.7492332,73.13,0,30.35,3.35,20,1,1274.1600147599995,1274.1600147599995,11.072381519999,11.072381519999,5.536190759999499
2021-05-13 21:00:00,1276.650304,36.61467473,73.43,0,30.27,3.27,21,1,1280.185977440001,1280.185977440001,7.071346880001329,7.071346880001329,3.535673440000892
2021-05-13 21:15:00,1286.9103,36.68855057,73.7,0,30.27,3.27,21,1,1289.98533104,1289.98533104,6.150062080000225,6.150062080000225,3.0750310399998853
2021-05-13 21:30:00,1297.26806,36.88161014,74.4,0,30.27,3.27,21,1,1300.9462425600004,1300.9462425600004,7.356365120000646,7.356365120000646,3.678182560000323
2021-05-13 21:45:00,1314.83844,36.9304726,75.18,0,30.21,3.21,21,1,1302.8821846000003,1302.8821846000003,71.73753239999814,71.73753239999814,11.95625539999969
2021-05-13 22:00:00,1336.736376,36.78890901,75.79,0,30.1,3.1,22,0,1319.7885323199998,1319.7885323199998,67.79137472000093,67.79137472000093,16.947843680000233
2021-05-13 22:15:00,1358.490428,36.60877752,76.06,0,30.01,3.01,22,0,1346.73733852,1346.73733852,47.012357919999886,47.012357919999886,11.753089479999971
2021-05-13 22:30:00,1388.091084,36.54980893,76.26,0,29.97,2.97,22,0,1365.7401205999995,1365.7401205999995,89.40385360000164,89.40385360000164,22.35096340000041
2021-05-13 22:45:00,1418.197948,36.46319006,76.57,0,29.91,2.91,22,0,1394.5626481999998,1394.5626481999998,94.54119920000085,94.54119920000085,23.63529980000021
2021-05-13 23:00:00,1446.913376,36.68732561,77.2,0,29.93,2.93,23,0,1432.1578097600002,1432.1578097600002,59.02226495999912,59.02226495999912,14.75556623999978
2021-05-13 23:15:00,1473.703508,36.6701565,77.35,0,29.91,2.91,23,0,1460.15401988,1460.15401988,54.19795247999991,54.19795247999991,13.549488119999978
2021-05-13 23:30:00,1492.196688,36.74624495,77.85,0,29.89,2.89,23,0,1487.0692745999995,1487.0692745999995,20.509653600001,20.509653600001,5.127413400000478
2021-05-13 23:45:00,1502.666792,36.6263571,78.38,0,29.8,2.8,23,0,1502.81947816,1502.81947816,0.3053723200000604,0.3053723200000604,0.1526861600000302
2021-05-14 00:00:00,1505.12834,36.48881941,78.63,0,29.73,2.73,0,0,1491.9657373200002,1491.9657373200002,52.65041071999895,52.65041071999895,13.162602679999736
2021-05-14 00:15:00,1494.693236,36.37306209,78.63,0,29.69,2.69,0,0,1495.79736664,1495.79736664,2.208261279999988,2.208261279999988,1.104130639999994
2021-05-14 00:30:00,1482.18656,36.31535077,78.63,0,29.67,2.67,0,0,1481.56840456,1481.56840456,2.472621760000038,2.472621760000038,0.6181554400000095
2021-05-14 00:45:00,1463.76278,36.214186,79.14,0,29.59,2.59,0,0,1467.08536196,1467.08536196,6.645163919999959,6.645163919999959,3.3225819599999795
2021-05-14 01:00:00,1440.56492,36.3755913,79.66,0,29.6,2.6,1,0,1438.5591456400005,1438.5591456400005,8.02309743999831,8.02309743999831,2.0057743599995774
